Flight Number,Origin,Destination,Tags,Departure Time (HH:MM),Arrival Time (HH:MM),Service Days,Fleet IDs,Pax LF ID,Pax Luggage LF ID,Cargo LF ID,Cargo Volume LF ID,Callsign,Type,Is Hidden,Flight Rules,Flight Type,Allow Callsign Change,_delete
X2143,NZTG,NZCH,C-0002,05:00,06:45,saturday,16300,25261,25262,25263,25265,XZA143,scheduled,False,i,s,False,False
X2122,NZCH,NZWN,C-0003,02:35,03:40,"monday,tuesday,wednesday,thursday,friday",16300,25261,25262,25263,25265,XZA122,scheduled,False,i,s,False,False
X2123,NZWN,NZCH,C-0003,04:25,05:35,"monday,tuesday,wednesday,thursday,friday",16300,25261,25262,25263,25265,XZA123,scheduled,False,i,s,False,False
X2162,NZCH,NZRO,C-0003,06:30,08:10,"monday,tuesday,wednesday,thursday,friday",16300,25261,25262,25263,25265,XZA162,scheduled,False,i,s,False,False
X2163,NZRO,NZCH,C-0003,08:45,10:25,"monday,tuesday,wednesday,thursday,friday",16300,25261,25262,25263,25265,XZA163,scheduled,False,i,s,False,False
X2160,NZCH,NZRO,C-0003,21:25,23:05,"monday,tuesday,wednesday,thursday,sunday",16300,25261,25262,25263,25265,XZA160,scheduled,False,i,s,False,False
X2161,NZRO,NZCH,C-0003,23:40,01:20,"monday,tuesday,wednesday,thursday,sunday",16300,25261,25262,25263,25265,XZA161,scheduled,False,i,s,False,False
X2120,NZCH,NZWN,C-0003,19:05,20:10,friday,16300,25261,25262,25263,25265,XZA120,scheduled,False,i,s,False,False
X2121,NZWN,NZCH,C-0003,21:00,22:10,friday,16300,25261,25262,25263,25265,XZA121,scheduled,False,i,s,False,False
X2160,NZCH,NZRO,C-0003,23:10,00:50,friday,16300,25261,25262,25263,25265,XZA160,scheduled,False,i,s,False,False
X2161,NZRO,NZCH,C-0003,01:25,03:05,saturday,16300,25261,25262,25263,25265,XZA161,scheduled,False,i,s,False,False
X2180,NZCH,NZPM,C-0003,04:15,05:35,saturday,16300,25261,25262,25263,25265,XZA180,scheduled,False,i,s,False,False
X2181,NZPM,NZCH,C-0003,06:10,07:35,saturday,16300,25261,25262,25263,25265,XZA181,scheduled,False,i,s,False,False
X2126,NZCH,NZWN,C-0003,09:45,10:50,saturday,16300,25261,25262,25263,25265,XZA126,scheduled,False,i,s,False,False
X2127,NZWN,NZCH,C-0003,11:35,12:45,saturday,16300,25261,25262,25263,25265,XZA127,scheduled,False,i,s,False,False
X2180,NZCH,NZPM,C-0003,21:35,22:55,saturday,16300,25261,25262,25263,25265,XZA180,scheduled,False,i,s,False,False
X2181,NZPM,NZCH,C-0003,23:55,01:20,saturday,16300,25261,25262,25263,25265,XZA181,scheduled,False,i,s,False,False
X2180,NZCH,NZPM,C-0004,02:25,03:45,"monday,wednesday,friday",16300,25261,25262,25263,25265,XZA180,scheduled,False,i,s,False,False
X2181,NZPM,NZCH,C-0004,04:40,06:05,"monday,wednesday,friday",16300,25261,25262,25263,25265,XZA181,scheduled,False,i,s,False,False
X2142,NZCH,NZTG,C-0004,06:50,08:30,"monday,tuesday,wednesday,friday",16300,25261,25262,25263,25265,XZA142,scheduled,False,i,s,False,False
X2143,NZTG,NZCH,C-0004,09:10,10:50,"monday,tuesday,wednesday,friday",16300,25261,25262,25263,25265,XZA143,scheduled,False,i,s,False,False
X2140,NZCH,NZTG,C-0004,21:30,23:10,"monday,tuesday,wednesday,thursday,sunday",16300,25261,25262,25263,25265,XZA140,scheduled,False,i,s,False,False
X2141,NZTG,NZCH,C-0004,23:55,01:40,"monday,tuesday,wednesday,thursday,sunday",16300,25261,25262,25263,25265,XZA141,scheduled,False,i,s,False,False
X2170,NZCH,NZNR,C-0004,02:25,03:55,tuesday,16300,25261,25262,25263,25265,XZA170,scheduled,False,i,s,False,False
X2171,NZNR,NZCH,C-0004,04:30,06:05,"tuesday,sunday",16300,25261,25262,25263,25265,XZA171,scheduled,False,i,s,False,False
X2160,NZCH,NZRO,C-0004,21:25,23:05,saturday,16300,25261,25262,25263,25265,XZA160,scheduled,False,i,s,False,False
X2161,NZRO,NZCH,C-0004,23:40,01:20,saturday,16300,25261,25262,25263,25265,XZA161,scheduled,False,i,s,False,False
X2170,NZCH,NZNR,C-0004,02:10,03:40,sunday,16300,25261,25262,25263,25265,XZA170,scheduled,False,i,s,False,False
X2142,NZCH,NZTG,C-0004,06:45,08:25,sunday,16300,25261,25262,25263,25265,XZA142,scheduled,False,i,s,False,False
X2143,NZTG,NZCH,C-0004,09:00,10:45,sunday,16300,25261,25262,25263,25265,XZA143,scheduled,False,i,s,False,False
X2200,NZCH,NZQN,A-0001,02:30,03:50,"monday,tuesday,wednesday,thursday,friday,sunday",13433,25261,25262,25263,25265,XZA200,scheduled,False,i,s,False,False
X2201,NZQN,NZCH,A-0001,04:40,05:50,"monday,tuesday,wednesday,thursday,friday,sunday",13433,25261,25262,25263,25265,XZA201,scheduled,False,i,s,False,False
X2124,NZCH,NZWN,A-0001,06:50,07:55,"monday,tuesday,wednesday,thursday,friday,sunday",13433,25261,25262,25263,25265,XZA124,scheduled,False,i,s,False,False
X2125,NZWN,NZCH,A-0001,08:45,09:55,"monday,tuesday,wednesday,thursday,friday,sunday",13433,25261,25262,25263,25265,XZA125,scheduled,False,i,s,False,False
X2126,NZCH,NZWN,A-0001,10:45,11:50,"monday,tuesday,wednesday,thursday,friday,sunday",13433,25261,25262,25263,25265,XZA126,scheduled,False,i,s,False,False
X2127,NZWN,NZCH,A-0001,12:40,13:50,"monday,tuesday,wednesday,thursday,friday,sunday",13433,25261,25262,25263,25265,XZA127,scheduled,False,i,s,False,False
X2120,NZCH,NZWN,A-0001,21:40,22:45,"monday,tuesday,wednesday,thursday,saturday,sunday",13433,25261,25262,25263,25265,XZA120,scheduled,False,i,s,False,False
X2121,NZWN,NZCH,A-0001,23:45,00:55,"monday,tuesday,wednesday,thursday,saturday,sunday",13433,25261,25262,25263,25265,XZA121,scheduled,False,i,s,False,False
X2100,NZCH,NZAA,A-0001,21:05,22:45,friday,13433,25261,25262,25263,25265,XZA100,scheduled,False,i,s,False,False
X2101,NZAA,NZCH,A-0001,23:55,01:40,friday,13433,25261,25262,25263,25265,XZA101,scheduled,False,i,s,False,False
X2200,NZCH,NZQN,A-0001,03:05,04:20,saturday,13433,25261,25262,25263,25265,XZA200,scheduled,False,i,s,False,False
X2201,NZQN,NZCH,A-0001,05:20,06:30,saturday,13433,25261,25262,25263,25265,XZA201,scheduled,False,i,s,False,False
X2104,NZCH,NZAA,A-0001,08:15,09:55,saturday,13433,25261,25262,25263,25265,XZA104,scheduled,False,i,s,False,False
X2105,NZAA,NZCH,A-0001,10:55,12:40,saturday,13433,25261,25262,25263,25265,XZA105,scheduled,False,i,s,False,False
X2102,NZCH,NZAA,A-0002,02:45,04:25,"monday,tuesday,wednesday,thursday,friday,sunday",13433,25261,25262,25263,25265,XZA102,scheduled,False,i,s,False,False
X2103,NZAA,NZCH,A-0002,05:25,07:10,"monday,tuesday,wednesday,thursday,friday,sunday",13433,25261,25262,25263,25265,XZA103,scheduled,False,i,s,False,False
X2104,NZCH,NZAA,A-0002,08:30,10:10,"monday,tuesday,wednesday,thursday,friday,sunday",13433,25261,25262,25263,25265,XZA104,scheduled,False,i,s,False,False
X2105,NZAA,NZCH,A-0002,11:10,12:55,"monday,tuesday,wednesday,thursday,friday,sunday",13433,25261,25262,25263,25265,XZA105,scheduled,False,i,s,False,False
X2100,NZCH,NZAA,A-0002,21:20,23:00,"monday,tuesday,wednesday,saturday,sunday",13433,25261,25262,25263,25265,XZA100,scheduled,False,i,s,False,False
X2101,NZAA,NZCH,A-0002,23:50,01:35,"monday,tuesday,wednesday,saturday,sunday",13433,25261,25262,25263,25265,XZA101,scheduled,False,i,s,False,False
X2120,NZCH,NZWN,A-0002,21:40,22:45,thursday,13433,25261,25262,25263,25265,XZA120,scheduled,False,i,s,False,False
X2121,NZWN,NZCH,A-0002,23:45,00:55,thursday,13433,25261,25262,25263,25265,XZA121,scheduled,False,i,s,False,False
